user,text,clean_text
MarkHodder3,@JoeBiden And we’ll find out who won in 2026...,"['joebiden', 'find', '2026']"
K87327961G,@JoeBiden Your Democratic Nazi Party cannot be trusted https://t.co/boNiI0vjL0,"['joebiden', 'democratic', 'nazi', 'party', 'can', 'not', 'trusted']"
OldlaceA,@JoeBiden So did Lying Barr,"['joebiden', 'lying', 'barr']"
penblogger,@JoeBiden It's clear you didnt compose this tweet. You cant put ONE sentence together and they usually last 10 minutes.,"['joebiden', 'clear', 'didnt', 'compose', 'tweet', 'cant', 'put', 'one', 'sentence', 'together', 'usually', 'last', '10', 'minute']"
Aquarian0264,@JoeBiden I will vote in person thank you.,"['joebiden', 'vote', 'person', 'thank']"
FabrizioBenass4,@JoeBiden #ALL LIVES MATTER #HUMAN RIGHTS HELP FOR YOUNG MATTEO BENASSI FOR HUMAN RIGHTS FROM ITALY/EUROPE..A PRERO… https://t.co/M94qYHUUs4,"['joebiden', 'life', 'matter', 'human', 'right', 'help', 'young', 'matter', 'benassi', 'human', 'right', 'italy', 'europe', 'pero']"
motter_sue,@JoeBiden @JustVent6 As if you kno how he voted!!,"['joebiden', 'justvent6', 'no', 'voted']"
sandraanne324,@JoeBiden Looks like your not they only sleepy Democrat Joe.  https://t.co/nDnpuWuRFX,"['joebiden', 'look', 'like', 'sleepy', 'democrat', 'joe']"
pepvet,"@JoeBiden @PleaseJustDoNot Youre son benefitted from your being VP, we should have, too, but we never did.","['joebiden', 'pleasejustdonot', 'youre', 'son', 'benefitted', 'vp', 'never']"
LauraD1216,@JoeBiden https://t.co/52hTK0IqOj,['joebiden']
palaro2017,@JoeBiden Voter ID is required otherwise you Democrats will cheat..its been proven.  Have some integrity !,"['joebiden', 'voter', 'id', 'required', 'otherwise', 'democrat', 'cheat', 'proven', 'integrity']"
GeneEmerick68,@JoeBiden Scared to debate?,"['joebiden', 'scared', 'debate']"
JGarka,"@JoeBiden You would approve, its only way you could beat Pres Trump!!","['joebiden', 'would', 'approve', 'way', 'could', 'beat', 'pres', 'trump']"
candyisyummy333,@JoeBiden My standard reply to propaganda: https://t.co/Skq4oY6mhE,"['joebiden', 'standard', 'reply', 'propaganda']"
5h0rtie,"@JoeBiden @richardmarx Trouble is trump voted for :- person , woman , man , camera , TV . . .","['joebiden', 'richardmarx', 'trouble', 'trump', 'voted', 'person', 'woman', 'man', 'camera', 'tv']"
shut_up_stewart,@JoeBiden I honestly cannot comprehend how a country as important as the USA can fuck up its election system so bad… https://t.co/JmYf7HjQ4w,"['joebiden', 'honestly', 'can', 'not', 'comprehend', 'country', 'important', 'usa', 'fuck', 'election', 'system', 'bad']"
2think4reals,@JoeBiden Why?,['joebiden']
