user,text,clean_text
manny_rosen, @sanofi please tell us how many shares the Criminal Trump Enterprise owns.,"['sankei', 'please', 'tell', 'u', 'many', 'share', 'criminal', 'trump', 'enterprise', 'owns']"
osi_abdul," https://t.co/atM98CpqF7  Like, comment, RT #Prayer4TachaNTitans #Prayer4TachaNTitans","['like', 'comment', 'rt', 'prayer4tachantitans', 'prayer4tachantitans']"
Patsyrw, Your AG Barr is as useless &amp; corrupt as you are     Rep. Pramila Jayapal #SheGotItRight,"['ag', 'barr', 'useless', 'amp', 'corrupt', 'rep', 'pumila', 'jayapal', 'shegotitright']"
seyedebrahimi_m, Mr. Trump! Wake Up!  Most of the comments below your tweets are nothing but cartoons and ridicule!… https://t.co/ZboyK43K9M,"['mr', 'trump', 'wake', 'comment', 'tweet', 'nothing', 'cartoon', 'ridicule']"
James09254677, After 4 years you think you would have figured out your horrendous spray tan situation,"['4', 'year', 'think', 'would', 'figured', 'horrendous', 'spray', 'tan', 'situation']"
IndependentsDo,  You lie to lie to cover up a lie to cover up the lie you just lied about.,"['lie', 'lie', 'cover', 'lie', 'cover', 'lie', 'lied']"
curtiswhitworth, Really? My prices have gone up. That’s a fact.,"['really', 'price', 'gone', 'fact']"
shayked5777," Don, you are delusion.  Someone needs to invoke the Baker Act and stop you from harming people with your insanity.","['delusion', 'someone', 'need', 'invoke', 'baker', 'act', 'stop', 'harming', 'people', 'insanity']"
CantStandya2018, How much on stocks have you made pushing miracle covid drugs? Cha ching. I am sure you make plenty on stocks of all kinds.,"['much', 'stock', 'made', 'pushing', 'miracle', 'covid', 'drug', 'cha', 'ching', 'sure', 'make', 'plenty', 'stock', 'kind']"
Chris09704800, https://t.co/MsPqMjxUpk,[]
npzh, No president would be able to destroy as you have,"['president', 'would', 'able', 'destroy']"
Chris09704800, https://t.co/uP4nDEL0mK,[]
CantStandya2018, Most corrupt mother clucker ever to sit in the oval. Makes Watergate look like a garden party,"['corrupt', 'mother', 'cluster', 'ever', 'sit', 'oval', 'make', 'watergate', 'look', 'like', 'garden', 'party']"
seriouslyfit, A script I turned down was over $100.00,"['script', 'turned', '100', '00']"
socratesnurse, https://t.co/RqkD9JDrBv,[]
DeniseDunham9," Lies, lies, lies.. https://t.co/pMfA31RMJU","['lie', 'lie', 'lie']"
SeeMcMills, Yeah Donald we all know you're the only president in years that's done anything. Shove it where th… https://t.co/IMvVlkjPTz,"['yeah', 'donald', 'know', 'president', 'year', 'done', 'anything', 'shove', 'th']"
MadeBees," Except this isnt true. You allowed Americans to get drugs from overseas, not control prices here.… https://t.co/IO2i8vwkGQ","['except', 'isnt', 'true', 'allowed', 'american', 'get', 'drug', 'overseas', 'control', 'price']"
EliseViksaas, The ratio here is truly epic.  And so deserved.,"['ratio', 'truly', 'epic', 'deserved']"
MaryMeliz99, ???????Every one is wrong but you .. cry baby,"['every', 'one', 'wrong', 'cry', 'baby']"
itsoulformula, I guess Mr. President some people are so filled with hate they can’t see that they’re ahead. They… https://t.co/ZaBiHx08bY,"['guess', 'mr', 'president', 'people', 'filled', 'hate', 'see', 'ahead']"
PfleegerLinda, idiot,['idiot']
Onlimoi, https://t.co/yIARD7LDkU,[]
RealCleverStag, Donald Lies... Trump Signs Executive Orders On Drug Prices.. policy experts say they will likely o… https://t.co/zJ272KemnW,"['donald', 'lie', 'trump', 'sign', 'executive', 'order', 'drug', 'price', 'policy', 'expert', 'say', 'likely']"
PhillipLloydNe1, Repeating yourself again. Sounds like you have Alzheimer's.,"['repeating', 'sound', 'like', 'alzheimer']"
DELETETRUMP9, https://t.co/yEjC35jqyL,[]
Calqlus, https://t.co/CRjjBo9HH2,[]
SendHelp_hurry, Part D was not in existence 51 years ago.   U lie.   Drugs were not covered until Bush admin.   U… https://t.co/n53eIbOo1e,"['part', 'existence', '51', 'year', 'ago', 'u', 'lie', 'drug', 'covered', 'bush', 'admin', 'u']"
tommy_lowell, The following chart shows a 3 month decline of Covid fatalities. Something the media won't show. https://t.co/3Q2JioHKPB,"['following', 'chart', 'show', '3', 'month', 'decline', 'covid', 'fatality', 'something', 'medium', 'show']"
ThomasEBrown3," 'He was an amazing guy': Arizona man, 36, dies from COVID-19 https://t.co/GWpuKJVZDj","['amazing', 'guy', 'arizona', 'man', '36', 'dy', 'covid', '19']"
quackers_cheese," I don't want my 'D' reduced, even with a prescription.  I'm fine with its current length and girth.","['want', 'reduced', 'even', 'prescription', 'fine', 'current', 'length', 'birth']"
YRTGROUP, @potus Just keep up doing what you’re doing having the press conferences making sure that people k… https://t.co/wxDap9cd28,"['pot', 'keep', 'press', 'conference', 'making', 'sure', 'people', 'k']"
